date,value
Community,206
Artist,193
Video Game,140
Public Figure,127
Media/News Company,90
Musician/Band,81
Product/Service,68
Fictional Character,61
Author,59
Movie,57
Games/Toys,56
TV Show,47
Entertainment Website,44
Personal Blog,44
Blogger,31
App Page,30
Nonprofit Organization,30
Writer,27
Art,23
Arts & Entertainment,23
Clothing (Brand),23
Website,22
Just For Fun,22
Education,21
Organization,21
Non-Governmental Organization (NGO),20
News & Media Website,20
College & University,19
Politician,19
Local Business,17
Company,17
Book,17
Producer,16
Comedian,16
Internet Company,15
Performing Arts,15
Interest,14
Movie/Television Studio,14
Health/Beauty,14
Arts & Humanities Website,13
Brand,12
Magazine,12
Event,11
Food & Beverage Company,11
Education Website,11
Athlete,11
Photographer,10
Restaurant,10
Personal Website,10
Wine/Spirits,10
Kitchen/Cooking,8
Cause,8
Computer Company,8
Software,8
Government Organization,8
Shopping & Retail,8
Pet,8
Professional Service,8
Diner,7
Shopping Mall,7
Community Organization,7
School,7
TV Channel,7
Fondue Restaurant,6
Recreation Center,6
Musician,6
Home Decor,6
Event Planner,6
Religious Organization,6
Political Party,6
Song,6
Business Service,6
Baby Goods/Kids Goods,6
Performance & Event Venue,6
TV Network,6
Visual Arts,5
Video Creator,5
Glass Manufacturer,5
Public & Government Service,5
Art Gallery,5
Computers & Internet Website,5
Coffee Shop,5
Publisher,5
Food & Beverage,5
Pet Supplies,4
Jewelry/Watches,4
Dessert Shop,4
Consulting Agency,4
Coach,4
Gaming Video Creator,4
Radio Station,4
Board Game,4
Travel Company,4
Game Publisher,4
Sports & Recreation,4
Actor,4
Political Organization,4
Graphic Designer,4
Hair Salon,4
Broadcasting & Media Production Company,4
Concert Tour,4
Design & Fashion,3
Clothing Store,3
Record Label,3
Phone/Tablet,3
Bar,3
News Personality,3
Fashion,3
Bar & Grill,3
Sports Team,3
Food Stand,3
Breakfast & Brunch Restaurant,3
Local & Travel Website,3
Tour Agency,3
Tourist Information Center,3
Society & Culture Website,3
Dancer,3
Bookstore,3
Movie Character,3
Podcast,3
Educational Consultant,3
Media,3
Band,3
Performance Art Theatre,3
Retail Company,3
Electronics,3
Book Series,3
Amusement & Theme Park,3
Cultural Gifts Store,2
Toy Store,2
Chef,2
Nail Salon,2
Furniture,2
Korean Restaurant,2
Sports League,2
Pub,2
Travel & Transportation,2
Continental Restaurant,2
Fashion Model,2
Photography Videography,2
Telecommunication Company,2
Show,2
Music Video,2
Entrepreneur,2
Household Supplies,2
Camera/Photo,2
Local Service,2
Ramen Restaurant,2
Hobby Store,2
Travel Service,2
Movie Theater,2
Wholesale & Supply Store,2
Wine Bar,2
Advertising/Marketing,2
High School,2
Landmark & Historical Place,2
Motivational Speaker,2
Mobile Phone Shop,2
Art School,2
Library,2
Tools/Equipment,2
Government Website,2
Literary Arts,2
Pharmaceuticals,2
E-commerce Website,2
Computers (Brand),2
Labor Union,2
Books & Magazines,2
Specialty School,1
Sporting Goods Store,1
Merchandising Service,1
Yakitori Restaurant,1
Gym/Physical Fitness Center,1
Home Improvement,1
Sportswear Store,1
Planetarium,1
Computer Store,1
Airline Company,1
Discount Store,1
Vitamins/Supplements,1
Medical Service,1
Franchise Broker,1
Music Chart,1
Japanese Restaurant,1
Religious Place of Worship,1
Outdoor & Sporting Goods Company,1
Financial Service,1
Hot Spring,1
Industrial Company,1
Recreation & Sports Website,1
History Museum,1
Sushi Restaurant,1
Automotive Customization Shop,1
Lounge,1
Comedy Club,1
Religious Center,1
Beer Bar,1
Boutique Store,1
Other,1
Album,1
Science,1
Science Website,1
"Science, Technology & Engineering",1
Apparel & Clothing,1
Mining Company,1
Shopping Service,1
Hotel,1
Eco Tour Agency,1
Big Box Retailer,1
Region,1
Accountant,1
Convenience Store,1
Cafe,1
Software Company,1
Mission,1
Teacher,1
Newspaper,1
Aerospace Company,1
Dance Studio,1
"Stadium, Arena & Sports Venue",1
Airline Industry Service,1
Commercial & Industrial,1
Corporate Lawyer,1
Internist (Internal Medicine),1
Musical Instrument,1
Inn,1
Accessories,1
Pet Service,1
Skin Care Service,1
Performance Art,1
Office Supplies,1
Cars,1
Energy Company,1
Cosmetics Store,1
Modeling Agency,1
Reference Website,1
Civilization Museum,1
Workplace & Office,1
Arcade,1
Dog Trainer,1
Buddhist Temple,1
Haunted House,1
Tour Guide,1
Sports & Recreation Venue,1
Educational Research Center,1
Cash Advance Service,1
Speech Therapist,1
Chocolate Shop,1
Bakery,1
Museum,1
School Sports Team,1
Church of Jesus Christ of Latter-day Saints,1
Interior Design Studio,1
Printing Service,1
Lawyer & Law Firm,1
Marketing Consultant,1
Business & Economy Website,1
Doctor,1
Youth Organization,1
Lobbyist,1
Sports Event,1
Art Museum,1
Music Award,1
Middle School,1
Internet Marketing Service,1
Social Media Agency,1
Food Consultant,1
Pizza Place,1
Health Food Restaurant,1
"Beauty, Cosmetic & Personal Care",1
Car Rental,1
In-Home Service,1
Engineering Service,1
Shopping District,1
Metal Fabricator,1
Motor Vehicle Company,1
Beauty Salon,1
Real Estate Agent,1
Steakhouse,1
Brewery,1
Gastropub,1
Barbecue Restaurant,1
Pet Breeder,1
Outlet Store,1
Playground,1
Escape Game Room,1
Specialty Grocery Store,1
Transportation Service,1
Sports,1
TV/Movie Award,1
Outdoor Equipment Store,1
Food Truck,1
Cocktail Bar,1
Maid & Butler,1
Private School,1
Bed and Breakfast,1
Foodservice Distributor,1
Automotive Manufacturer,1
DJ,1
Electronics Company,1
